file,best_fipb,best_modern,factor_vs_modern
experiments\data\canterbury\alice29.txt,1.00986264621373,0.284057361150379,3.555136336280728
experiments\data\canterbury\asyoulik.txt,1.0098818491919572,0.3160993457369047,3.1948242310899957
experiments\data\canterbury\cp.html,1.010323944234443,0.2802097305206682,3.605599071656513
experiments\data\canterbury\fields.c,1.010762331838565,0.243677130044843,4.147957305852043
experiments\data\canterbury\grammar.lsp,1.013437248051599,0.3020693361999462,3.3549822064056944
experiments\data\canterbury\kennedy.xls,1.009779129570068,0.047697291754067,21.170575779786642
experiments\data\canterbury\lcet10.txt,1.0097995566532476,0.2523842775931801,4.001039867788239
experiments\data\canterbury\plrabn12.txt,1.0097953559221435,0.3021140951436202,3.3424304663511415
experiments\data\canterbury\ptt5,0.6530934343434344,0.0797695317371243,8.187254207479425
experiments\data\canterbury\sum,1.0100941422594143,0.2471757322175732,4.086542530681338
experiments\data\canterbury\xargs.1,1.01301159214573,0.3463449254790631,2.9248633879781436
