corpus,file,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds,encode_mib_s,decode_mib_s,alphabet_size,symbol_width,global_metadata_bytes,k_star,full_blocks,k_star_blocks,k_star_fraction,shared_blocks,shared_block_fraction
canterbury,alice29.txt,256,152089,152098,1.000059176,0.262233,0.000113,0.553110,1283.569674,28,5,34,392,594,0,0.000000000,0,0.000000000
canterbury,asyoulik.txt,256,125179,125188,1.000071897,0.234355,0.000049,0.509398,2446.311419,25,5,31,392,488,0,0.000000000,0,0.000000000
canterbury,cp.html,256,24603,24612,1.000365809,0.107535,0.000041,0.218192,570.881976,25,5,30,392,96,0,0.000000000,0,0.000000000
canterbury,fields.c,256,11150,11158,1.000717489,0.130712,0.000027,0.081350,389.504345,20,5,25,392,43,0,0.000000000,0,0.000000000
canterbury,grammar.lsp,256,3721,3729,1.002149960,0.101011,0.000042,0.035131,85.303417,20,5,25,390,14,0,0.000000000,0,0.000000000
canterbury,kennedy.xls,256,1029744,1029753,1.000008740,0.919886,0.000775,1.067568,1267.476001,29,5,35,392,4022,0,0.000000000,0,0.000000000
canterbury,lcet10.txt,256,426754,426763,1.000021089,0.466384,0.000167,0.872637,2441.417692,29,5,35,392,1667,0,0.000000000,0,0.000000000
canterbury,plrabn12.txt,256,481861,481870,1.000018678,0.528527,0.000137,0.869470,3359.199267,28,5,34,392,1882,0,0.000000000,0,0.000000000
canterbury,ptt5,256,513216,432318,0.842370464,0.495030,0.022180,0.988709,22.067266,29,5,35,392,2004,405,0.202095808,411,0.204987531
canterbury,sum,256,38240,38249,1.000235356,0.189160,0.000081,0.192791,449.119530,23,5,29,392,149,1,0.006711409,1,0.006666667
canterbury,xargs.1,256,4227,4235,1.001892595,0.099764,0.000042,0.040407,96.903397,21,5,26,390,16,0,0.000000000,0,0.000000000
silesia,dickens,256,10192446,10192456,1.000000981,8.285164,0.003034,1.173215,3204.204236,34,6,41,326,39814,0,0.000000000,0,0.000000000
silesia,mozilla,256,51220480,50900878,0.993760269,33.461824,0.075569,1.459803,646.402353,41,6,48,326,200080,5301,0.026494402,5309,0.026534386
silesia,mr,256,9970564,7708787,0.773154558,4.790994,0.030539,1.984697,311.363603,34,6,41,326,38947,9649,0.247746938,9652,0.247817603
silesia,nci,256,33553445,33553455,1.000000298,21.996614,0.009385,1.454727,3409.450713,39,6,46,326,131068,0,0.000000000,0,0.000000000
silesia,ooffice,256,6152192,6152202,1.000001625,3.749386,0.001023,1.564840,5735.276149,34,6,41,326,24032,122,0.005076565,122,0.005076565
silesia,osdb,256,10085684,10085694,1.000000992,6.413773,0.004972,1.499657,1934.563807,35,6,42,326,39397,0,0.000000000,0,0.000000000
silesia,reymont,256,6627202,6627212,1.000001509,3.920472,0.001408,1.612100,4488.135447,34,6,41,326,25887,0,0.000000000,0,0.000000000
silesia,samba,256,21606400,21606410,1.000000463,14.061072,0.005078,1.465427,4058.191777,36,6,43,326,84400,927,0.010983412,927,0.010983412
silesia,sao,256,7251944,7251954,1.000001379,4.581423,0.007411,1.509573,933.219007,35,6,42,326,28327,0,0.000000000,0,0.000000000
silesia,webster,256,41458703,41458713,1.000000241,31.123766,0.011417,1.270351,3462.968823,39,6,46,326,161948,0,0.000000000,0,0.000000000
silesia,x-ray,256,8474240,8474250,1.000001180,6.111512,0.003310,1.322367,2441.295626,39,6,46,326,33102,0,0.000000000,0,0.000000000
silesia,xml,256,5345280,5345290,1.000001871,3.508751,0.001628,1.452841,3131.430831,33,6,40,326,20880,38,0.001819923,38,0.001819923
enwik8,enwik8,256,100000000,100000010,1.000000100,71.625257,0.039425,1.331478,2418.946046,39,6,46,326,390625,0,0.000000000,0,0.000000000
