corpus,block_size,files,original_bytes,encoded_bytes,weighted_ratio,compressed_files,shared_blocks,block_count,shared_block_fraction
canterbury,16,11,2810784,2606675,0.9273836054282364,1,22760,175678,0.12955520896185066
silesia,16,12,211938580,211468950,0.997784122173509,1,408565,13246165,0.0308440216470201
canterbury,32,11,2810784,2590109,0.9214898761342031,1,9973,87842,0.1135333894947747
silesia,32,12,211938580,210456233,0.9930057708228488,1,181775,6623085,0.027445669200984135
canterbury,64,11,2810784,2629296,0.9354315379623621,1,4013,43925,0.09136027319294251
silesia,64,12,211938580,209925141,0.9904998938843508,1,82683,3311544,0.024968111551590438
canterbury,128,11,2810784,2696247,0.9592508709313843,1,1340,21966,0.06100336884275699
silesia,128,12,211938580,209818850,0.989998375944578,1,36874,1655775,0.022269934018812942
canterbury,256,11,2810784,2729973,0.9712496584582807,1,412,10986,0.03750227562352085
silesia,256,12,211938580,209357301,0.9878206270892256,2,16048,827890,0.019384217710082256
