density,method,original_bytes,encoded_bytes,ratio,entropy_bits_per_byte,seconds,throughput_mib_s
0.01,fisa_native,1048576,907016,0.8649978637695312,0.15949612854430711,0.583963,1.7124372605798655
0.01,zlib_9,1048576,34322,0.03273200988769531,0.15949612854430711,0.18479209998622537,5.411486746860614
0.01,bzip2_9,1048576,23696,0.0225982666015625,0.15949612854430711,0.014612400089390576,68.43502736597365
0.01,lzma_9,1048576,31652,0.030185699462890625,0.15949612854430711,0.2407054000068456,4.154456027872912
0.01,brotli_11,1048576,25804,0.024608612060546875,0.15949612854430711,3.680742900003679,0.27168428416964424
0.01,zstd_19,1048576,28171,0.02686595916748047,0.15949612854430711,0.7817088000010699,1.2792487432642838
0.01,ppmd_6,1048576,22774,0.021718978881835938,0.15949612854430711,0.1254201999399811,7.97319730377198
0.05,fisa_native,1048576,1048585,1.0000085830688477,0.6834693187207301,0.770203,1.2983590040547752
0.05,zlib_9,1048576,125682,0.11985969543457031,0.6834693187207301,0.6694729999871925,1.4937122184451512
0.05,bzip2_9,1048576,99725,0.09510517120361328,0.6834693187207301,0.025044800015166402,39.92844819660884
0.05,lzma_9,1048576,107312,0.1023406982421875,0.6834693187207301,0.8469993000617251,1.180638519922183
0.05,brotli_11,1048576,108295,0.10327816009521484,0.6834693187207301,3.526726600015536,0.28354905650911383
0.05,zstd_19,1048576,110036,0.10493850708007812,0.6834693187207301,0.7518024999881163,1.330136571793532
0.05,ppmd_6,1048576,96223,0.0917654037475586,0.6834693187207301,0.15798200003337115,6.329835043161665
0.1,fisa_native,1048576,1048585,1.0000085830688477,1.269685061759165,0.796887,1.254883063721707
0.1,zlib_9,1048576,216914,0.2068653106689453,1.269685061759165,1.3066949000349268,0.7652895867070966
0.1,bzip2_9,1048576,189608,0.18082427978515625,1.269685061759165,0.04796250001527369,20.84962209395985
0.1,lzma_9,1048576,192608,0.183685302734375,1.269685061759165,1.086285899975337,0.9205679646791917
0.1,brotli_11,1048576,200458,0.19117164611816406,1.269685061759165,3.6923134999815375,0.27083290733709375
0.1,zstd_19,1048576,202416,0.1930389404296875,1.269685061759165,0.740115899941884,1.3511397337613242
0.1,ppmd_6,1048576,181726,0.1733074188232422,1.269685061759165,0.20488020009361207,4.880901129260361
0.25,fisa_native,1048576,1048585,1.0000085830688477,2.8061000022656137,0.803939,1.2438754681636295
0.25,zlib_9,1048576,446769,0.4260721206665039,2.8061000022656137,2.0245522999903187,0.4939363631182963
0.25,bzip2_9,1048576,436531,0.4163084030151367,2.8061000022656137,0.10570049996022135,9.46069318855004
0.25,lzma_9,1048576,403644,0.3849449157714844,2.8061000022656137,0.9141674999846146,1.0938914367627706
0.25,brotli_11,1048576,392720,0.3745269775390625,2.8061000022656137,3.398404899984598,0.2942556962545964
0.25,zstd_19,1048576,392509,0.3743257522583008,2.8061000022656137,0.8203224000753835,1.2190329069498835
0.25,ppmd_6,1048576,402330,0.38369178771972656,2.8061000022656137,0.4431089999852702,2.2567810629737646
0.5,fisa_native,1048576,1048585,1.0000085830688477,5.0030679953389585,0.856317,1.167791834098821
0.5,zlib_9,1048576,749386,0.7146701812744141,5.0030679953389585,1.181443199981004,0.8464224094870397
0.5,bzip2_9,1048576,768184,0.7325973510742188,5.0030679953389585,0.16438239999115467,6.083376322853356
0.5,lzma_9,1048576,670248,0.6391983032226562,5.0030679953389585,0.6795279999496415,1.4716097056693882
0.5,brotli_11,1048576,655917,0.6255311965942383,5.0030679953389585,3.524568499997258,0.2837226741374945
0.5,zstd_19,1048576,656606,0.6261882781982422,5.0030679953389585,0.5788297000108287,1.7276238589369068
0.5,ppmd_6,1048576,698990,0.6666088104248047,5.0030679953389585,0.7643294999143109,1.3083362608823945
0.75,fisa_native,1048576,1048585,1.0000085830688477,6.803153602880321,0.802161,1.2466325338678894
0.75,zlib_9,1048576,940852,0.8972663879394531,6.803153602880321,0.11602059996221215,8.619159014224193
0.75,bzip2_9,1048576,983870,0.9382915496826172,6.803153602880321,0.19536850007716566,5.1185324123644556
0.75,lzma_9,1048576,906128,0.8641510009765625,6.803153602880321,0.42767679993994534,2.3382142780258848
0.75,brotli_11,1048576,899412,0.8577461242675781,6.803153602880321,3.134978099958971,0.3189814946436428
0.75,zstd_19,1048576,899068,0.8574180603027344,6.803153602880321,0.38243799994233996,2.614802922697979
0.75,ppmd_6,1048576,940656,0.8970794677734375,6.803153602880321,0.9204532000003383,1.0864213411389438
1.0,fisa_native,1048576,1048585,1.0000085830688477,7.99419999103615,0.825341,1.2116204090188176
1.0,zlib_9,1048576,1048902,1.0003108978271484,7.99419999103615,0.04971799999475479,20.11343980259663
1.0,bzip2_9,1048576,1053401,1.0046014785766602,7.99419999103615,0.2203800999559462,4.5376147855450615
1.0,lzma_9,1048576,1048688,1.0001068115234375,7.99419999103615,0.3343122999649495,2.991215100685328
1.0,brotli_11,1048576,1048581,1.000004768371582,7.99419999103615,0.8476358000189066,1.1797519642017185
1.0,zstd_19,1048576,1048609,1.0000314712524414,7.99419999103615,0.263969499967061,3.788316453699323
1.0,ppmd_6,1048576,1075215,1.025404930114746,7.99419999103615,0.8409646000945941,1.189110694894312
