corpus,method,weighted_ratio,aggregate_encode_mib_s
canterbury,fisa_1_0,0.9712496584582807,0.7583813684461412
canterbury,zlib_9,0.2589384314127304,4.050027261873418
canterbury,zstd_19,0.1837056849619181,2.199657624165323
canterbury,brotli_11,0.17456410738071657,0.5278565140333767
canterbury,lzma_9,0.175138324396325,2.4687755171245542
canterbury,ppmd_6,0.18186776358482187,6.4339232213135
silesia,fisa_1_0,0.9878206270892256,1.4233353389818015
silesia,zlib_9,0.31916450983110295,10.410295027076897
silesia,zstd_19,0.2497175879917663,2.045705761991155
silesia,brotli_11,0.23748666712780656,0.4889892370330202
silesia,lzma_9,0.23023406120773293,2.026187071314988
silesia,ppmd_6,0.2366699540970785,5.362391977828879
