corpus,block_size,method,ratio
canterbury,64,fixed_binary_no_delimiters,0.9188959085972854
canterbury,64,rice_oracle_k1,1.1304106148376032
canterbury,64,elias_gamma,1.4607786406243897
canterbury,64,fibonacci_universal,1.4753253063344771
canterbury,64,elias_delta,1.7148082764424728
canterbury,64,leb128,3.016105412561448
canterbury,256,fixed_binary_no_delimiters,0.943865677288995
canterbury,256,rice_oracle_k1,1.1611861781293624
canterbury,256,elias_gamma,1.5007263860114006
canterbury,256,fibonacci_universal,1.5152283872604075
canterbury,256,elias_delta,1.7611967592197495
canterbury,256,leb128,3.096039748532715
canterbury,512,fixed_binary_no_delimiters,0.9495624201462718
canterbury,512,rice_oracle_k1,1.1681191996480922
canterbury,512,elias_gamma,1.5098285086409453
canterbury,512,fibonacci_universal,1.524263863281226
canterbury,512,elias_delta,1.771726473272775
canterbury,512,leb128,3.114370653212786
silesia_sample,64,fixed_binary_no_delimiters,0.9150627454121908
silesia_sample,64,rice_oracle_k1,1.1248254776000977
silesia_sample,64,elias_gamma,1.4546422958374023
silesia_sample,64,fibonacci_universal,1.4687870343526204
silesia_sample,64,elias_delta,1.7071741422017415
silesia_sample,64,leb128,3.0038655598958335
silesia_sample,256,fixed_binary_no_delimiters,0.9252282778422037
silesia_sample,256,rice_oracle_k1,1.1377962430318196
silesia_sample,256,elias_gamma,1.470940113067627
silesia_sample,256,fibonacci_universal,1.4851868947347004
silesia_sample,256,elias_delta,1.7263983090718586
silesia_sample,256,leb128,3.0361315409342446
silesia_sample,512,fixed_binary_no_delimiters,0.9451842308044434
silesia_sample,512,rice_oracle_k1,1.1626211802164714
silesia_sample,512,elias_gamma,1.502726713816325
silesia_sample,512,fibonacci_universal,1.5172395706176758
silesia_sample,512,elias_delta,1.763590971628825
silesia_sample,512,leb128,3.1011339823404946
